system,dataset,model,mape,mae,rmse
lrzip,uiq2-8.bin.csv,RandomForest,1.5088897077478212,15.539959649122807,23.942222434133367
lrzip,fannie_mae_500k.tar.csv,RandomForest,0.1277098428448829,5.613708771929827,8.345291047212507
lrzip,uiq-32.bin.csv,RandomForest,2.0868906106866487,58.22453742690059,88.28599830376693
lrzip,uiq2-16.bin.csv,RandomForest,1.87322901709076,31.739005263157893,48.458292683844746
lrzip,silesia.tar.csv,RandomForest,1.2574603590565736,34.058356140350874,52.11323071043364
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,RandomForest,0.2915755181617826,4.857247317264878,8.213580344475607
x264,sd_city_4cif_short.y4m.csv,RandomForest,0.2952388255358391,0.7942384720097889,1.3643730745040503
x264,riverbed_1080p25_short.y4m.csv,RandomForest,0.27408806987212603,3.820652448123789,6.44470272715641
x264,blue_sky_1080p25_short.y4m.csv,RandomForest,0.2878948010838831,1.7249859433312942,2.9478374269389795
x264,sd_crew_cif_short.y4m.csv,RandomForest,0.24621069336860302,0.1363403123477562,0.22669565702601355
x264,sd_bridge_close_cif_short.y4m.csv,RandomForest,0.20004677236426494,0.078401649544543,0.1278061551781041
x264,sintel_trailer_2k_720p24_short.y4m.csv,RandomForest,0.23319091772575604,0.22285712521101705,0.3686848522968523
x264,pedestrian_area_1080p25_short.y4m.csv,RandomForest,0.2940533466115361,2.0433641396026654,3.3958915433506323
x264,Johnny_1280x720_60_short.y4m.csv,RandomForest,0.3171631435441553,1.4095911992567665,2.451165945600266
xz,deepfield.tar.csv,RandomForest,0.10654465621167995,1.2061180051366838,2.5672931718166474
xz,vmlinux-5.10.tar.csv,RandomForest,0.06795713821359818,0.4550783627645503,0.7683299314358902
xz,artificl.tar.csv,RandomForest,0.30175642967372124,0.006493195370370369,0.00786939109083677
xz,large.tar.csv,RandomForest,0.09701200252789,0.38041195919312165,0.6272505484782593
xz,misc.tar.csv,RandomForest,0.07320581447537831,0.029978096560846542,0.061796311561940875
xz,uiq2-4.bin.csv,RandomForest,0.1253189290869792,1.0210103193783067,2.211970595616235
xz,ambivert.wav.tar.csv,RandomForest,0.1550563846776789,1.9243100464285703,4.028102469032757
xz,enwik8.tar.csv,RandomForest,0.2914961919192948,15.042061287345675,36.36896036240551
xz,uiq2-8.bin.csv,RandomForest,0.17458258899668366,3.3047025723765433,6.866934974017272
xz,fannie_mae_500k.tar.csv,RandomForest,0.11686653656512247,4.715979951322755,8.978093836836424
xz,uiq-32.bin.csv,RandomForest,0.2076157429192076,17.270172230952372,36.33247271002531
xz,uiq2-16.bin.csv,RandomForest,0.20890210239410187,8.588960968187829,20.699989764058113
xz,silesia.tar.csv,RandomForest,0.12840442615735032,9.320955385471777,19.001183282872876
z3,LRA_formula_277.smt2.csv,RandomForest,0.04053751180315696,0.10861386138613997,0.14091556855229026
z3,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2.csv,RandomForest,0.034581176599705186,0.41287895751479237,0.5192863078440731
z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2.csv,RandomForest,0.07583059508563861,0.4726388338833886,0.6110612083901544
z3,QF_AUFBV_891_sqlite3.smt2.csv,RandomForest,1.6047532506751765,3.5296850935093502,6.608767382219288
z3,QF_UFLIA_xs_23_43.smt2.csv,RandomForest,0.104696382599216,2.4089868720205354,3.5916454977412045
z3,QF_UF_PEQ018_size6.smt2.csv,RandomForest,1.2098979681160789,33.395509974330785,56.928541712676065
z3,QF_BV_bench_3176.smt2.csv,RandomForest,2.099993948504181,31.085675328723344,45.90850319074372
z3,QF_RDL_orb08_888.smt2.csv,RandomForest,0.028532872475363246,0.26799960487715424,0.3397200655419277
z3,QF_BV_bench_935.smt2.csv,RandomForest,3.6135461339413113,21.476400935093512,29.78064625708862
z3,QF_LIA_tightrhombus.csv,RandomForest,0.29523551314914215,0.2877814723138982,0.40774731883029264
z3,QF_NRA_hong_9.smt2.csv,RandomForest,0.027324072659940565,0.11064545287861988,0.13531052152691814
z3,AUFNIRA_z3.637557.smt2.csv,RandomForest,1.0419350332748885,19.823068280685217,32.04945891591063
